,Symbol
42569,12350.AX
30172,12369.AX
17197,123760.KS
36295,12381490.SW
12479,1239077.SW
30258,123948.BO
34855,123951.BO
42764,123953.BO
15899,12403105.NX
42524,12407383.IR
43640,124177.BO
36960,12422044.IR
39036,12435.AX
38033,12435.AX
20300,12475852.SW
42539,125216.BO
37637,125337.BO
33626,12574756.IR
29215,1258291.MC
41690,1258315.MC
26880,12632798.SW
39282,12643187.SW
38175,12643187.SW
32984,12652104.IR
36950,1268298.IR
35847,12686602.IR
42960,12701000.IR
37283,127043.BO
16106,1270465.MX
41434,12707387.SW
42097,12707446.IR
29916,12707491.IR
44021,127183.BO
23241,1272999.SW
43721,127307.BO
31439,127311.BO
34549,12737519.IR
30467,12737955.IR
32995,12744139.SW
28658,12744305.SW
40412,1274839.IR
43246,1275669.IR
34056,12795806.IR
34230,128051.BO
32845,1281157.IR
40696,12855506.IR
15504,128566.L
31779,12867722.IR
29363,12870644.SW
43706,12877892.IR
14349,12881542.BE
19208,12881547.BE
19493,12881555.BE
19655,12881557.BE
39919,12883868.IR
42039,129053.BO
40021,12923229.SW
8575,129270.KS
24484,129470.L
23150,12952733.SW
19498,129547.L
11725,129548.L
22199,129549.L
8305,129550.L
18212,129551.L
22621,129552.L
8668,129553.L
15446,129554.L
22176,129555.L
15320,129557.L
18859,129560.L
19586,129561.L
18787,129562.L
28234,129563.L
17078,129564.L
22165,129565.L
26812,129566.L
22147,129567.L
22679,129568.L
22427,129569.L
24121,129570.L
20359,129571.L
22456,129572.L
22756,129573.L
19487,129574.L
28179,129596.L
20454,129627.L
22228,129628.L
15826,129720.L
17442,129882.L
22163,129883.L
9897,12AS.L
18879,12DM.L
24184,12DP.L
17892,12FD.L
26813,12IQ.L
14334,12IY.L
24099,12NG.L
22140,12QY.L
15934,12WR.L
31104,130055.BO
31427,13015630.IR
43927,13015646.IR
30089,13035478.IR
8063,13042145.SW
17854,13042390.SW
36198,130448.BO
42689,130449.BO
31368,130452.BO
37337,13045818.SW
34872,130476.BO
43061,130479.BO
32435,130540.BO
42768,13054258.MC
35816,1305483.IR
31011,130556.BO
23264,13059512.SW
36264,13061557.SW
17665,130680.KS
17702,130730.KS
29895,1307648.IR
32640,13079607.SW
43363,131030.BO
28605,131086.BO
28050,131136.L
34105,13116200.IR
29812,13116374.SW
30319,131220.BO
33979,13132189.IR
31224,13132649.IR
40552,131377.BO
30637,13139524.IR
40374,131415.BO
36749,131453.BO
34480,131548.BO
43123,13162739.SW
39791,13162744.IR
19977,131640.L
27347,13180497.IR
23131,13187243.SW
17637,131890.KS
40296,13195831.SW
17519,132030.KS
34350,13210371.IR
36459,13210795.IR
31270,13219203.IR
13665,132274.L
11605,132278.L
27129,132280.L
27221,132282.L
13617,132284.L
27146,132286.L
21314,132288.L
11390,132290.L
42321,1324440.SW
38469,13250186.SW
39377,13250186.SW
30594,13254185.SW
42892,13254528.IR
36407,1325714.IR
41017,13282811.IR
29401,13282973.IR
40984,13282997.IR
44403,13283009.IR
35701,13285067.IR
29572,13296439.IR
34752,13301361.IR
35561,133036.BO
34347,13312.AX
41270,1332323.IR
32782,133344.BO
29143,133397.BO
29526,133399.BO
29504,133402.BO
32848,133406.BO
35318,133407.BO
43899,13359658.IR
24792,133617.L
33002,133630.BO
17265,133690.KS
29935,1337020.IR
43791,13382165.IR
33985,133921.BO
34547,133924.BO
44235,133927.BO
42529,134015.BO
20299,13403484.SW
20098,13403486.SW
20002,13403490.SW
22477,134065.L
22552,134067.L
29355,13410742.IR
41135,134153.BO
43695,13432739.IR
32705,134331.BO
36493,134361.BO
36924,134642.BO
43906,13464844.SW
41117,13464847.SW
30516,134763.BO
31661,134877.BO
33617,134880.BO
26367,134929.L
32117,135124.BO
32900,135657.BO
38778,135661.BO
